GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0003729,mRNA binding,270,66,19.45,5.20E-19,4.31E-16,3.92E-17,3.39,MF
GO:0070469,respiratory chain,91,65,6.62,1.00E-30,6.30E-28,1.34E-29,9.82,CC
GO:0005746,mitochondrial respiratory chain,79,60,5.74,1.00E-30,6.30E-28,1.34E-29,10.45,CC
GO:0098803,respiratory chain complex,83,60,6.03,1.00E-30,6.30E-28,1.34E-29,9.95,CC
GO:1990204,oxidoreductase complex,109,60,7.92,1.00E-30,6.30E-28,1.34E-29,7.58,CC
GO:0005759,mitochondrial matrix,266,60,19.34,1.80E-15,1.13E-12,1.67E-14,3.1,CC
GO:0000375,"RNA splicing, via transesterification re...",257,59,18.57,1.00E-15,4.81E-12,3.37E-14,3.18,BP
GO:0000377,"RNA splicing, via transesterification re...",257,59,18.57,1.00E-15,4.81E-12,3.37E-14,3.18,BP
GO:0000398,"mRNA splicing, via spliceosome",257,59,18.57,1.00E-15,4.81E-12,3.37E-14,3.18,BP
GO:0022626,cytosolic ribosome,109,58,7.92,1.00E-30,6.30E-28,1.34E-29,7.32,CC
GO:0071826,ribonucleoprotein complex subunit organi...,230,56,16.61,3.40E-16,1.64E-12,1.21E-14,3.37,BP
GO:0022618,ribonucleoprotein complex assembly,217,54,15.68,4.20E-16,2.02E-12,1.49E-14,3.44,BP
GO:0006457,protein folding,153,53,11.05,5.70E-23,2.74E-19,3.08E-21,4.8,BP
GO:0090150,establishment of protein localization to...,226,52,16.33,4.60E-14,2.21E-10,1.46E-12,3.18,BP
GO:0015934,large ribosomal subunit,122,51,8.87,1.80E-26,1.13E-23,2.18E-25,5.75,CC
GO:0008021,synaptic vesicle,227,50,16.5,1.10E-12,6.93E-10,8.77E-12,3.03,CC
GO:0022900,electron transport chain,87,48,6.28,1.00E-30,4.81E-27,1.12E-28,7.64,BP
GO:0006119,oxidative phosphorylation,101,48,7.3,3.40E-28,1.64E-24,3.03E-26,6.58,BP
GO:0022904,respiratory electron transport chain,83,46,6,1.00E-30,4.81E-27,1.12E-28,7.67,BP
GO:0043021,ribonucleoprotein complex binding,152,44,10.95,5.20E-16,4.31E-13,1.87E-14,4.02,MF
GO:0006839,mitochondrial transport,182,44,13.15,6.60E-13,3.18E-09,1.94E-11,3.35,BP
GO:1905475,regulation of protein localization to me...,191,42,13.8,5.90E-11,2.84E-07,1.44E-09,3.04,BP
GO:0042773,ATP synthesis coupled electron transport,63,40,4.55,2.50E-30,1.20E-26,2.56E-28,8.79,BP
GO:0015078,proton transmembrane transporter activit...,121,40,8.72,6.70E-17,5.55E-14,2.68E-15,4.59,MF
GO:2001242,regulation of intrinsic apoptotic signal...,174,40,12.57,3.90E-11,1.88E-07,9.93E-10,3.18,BP
GO:0005747,mitochondrial respiratory chain complex ...,50,39,3.63,1.00E-30,6.30E-28,1.34E-29,10.74,CC
GO:0030964,NADH dehydrogenase complex,50,39,3.63,1.00E-30,6.30E-28,1.34E-29,10.74,CC
GO:0045271,respiratory chain complex I,50,39,3.63,1.00E-30,6.30E-28,1.34E-29,10.74,CC
GO:0042775,mitochondrial ATP synthesis coupled elec...,59,39,4.26,1.30E-30,6.26E-27,1.39E-28,9.15,BP
GO:0051082,unfolded protein binding,97,37,6.99,4.20E-18,3.48E-15,2.49E-16,5.29,MF
GO:0050821,protein stabilization,170,37,12.28,1.10E-09,5.29E-06,2.43E-08,3.01,BP
GO:0033108,mitochondrial respiratory chain complex ...,78,36,5.63,6.10E-21,2.94E-17,2.94E-19,6.39,BP
GO:0050684,regulation of mRNA processing,146,36,10.55,4.40E-11,2.12E-07,1.10E-09,3.41,BP
GO:0015935,small ribosomal subunit,76,35,5.52,2.90E-20,1.83E-17,3.10E-19,6.34,CC
GO:1905368,peptidase complex,93,35,6.76,7.40E-17,4.66E-14,7.06E-16,5.18,CC
GO:1902600,proton transmembrane transport,90,35,6.5,1.80E-17,8.66E-14,6.93E-16,5.38,BP
GO:0009156,ribonucleoside monophosphate biosyntheti...,158,35,11.41,1.90E-09,9.14E-06,4.14E-08,3.07,BP
GO:0002181,cytoplasmic translation,83,34,6,7.50E-18,3.61E-14,3.03E-16,5.67,BP
GO:0043484,regulation of RNA splicing,140,34,10.11,2.40E-10,1.15E-06,5.58E-09,3.36,BP
GO:0009142,nucleoside triphosphate biosynthetic pro...,156,34,11.27,4.90E-09,2.36E-05,1.01E-07,3.02,BP
GO:0022625,cytosolic large ribosomal subunit,61,33,4.43,5.00E-22,3.15E-19,5.73E-21,7.45,CC
GO:0009060,aerobic respiration,76,33,5.49,2.70E-18,1.30E-14,1.11E-16,6.01,BP
GO:0009145,purine nucleoside triphosphate biosynthe...,144,33,10.4,2.20E-09,1.06E-05,4.75E-08,3.17,BP
GO:0031072,heat shock protein binding,140,32,10.08,3.70E-09,3.07E-06,5.20E-08,3.17,MF
GO:0006754,ATP biosynthetic process,133,32,9.61,1.00E-09,4.81E-06,2.22E-08,3.33,BP
GO:0030176,integral component of endoplasmic reticu...,143,32,10.4,8.10E-09,5.10E-06,4.48E-08,3.08,CC
GO:0030658,transport vesicle membrane,144,32,10.47,9.80E-09,6.17E-06,5.32E-08,3.06,CC
GO:0009206,purine ribonucleoside triphosphate biosy...,143,32,10.33,7.00E-09,3.37E-05,1.42E-07,3.1,BP
GO:0009201,ribonucleoside triphosphate biosynthetic...,146,32,10.55,1.20E-08,5.77E-05,2.33E-07,3.03,BP
GO:0009055,electron transfer activity,72,31,5.19,3.50E-17,2.90E-14,1.53E-15,5.97,MF
GO:0005844,polysome,75,31,5.45,1.90E-16,1.20E-13,1.79E-15,5.69,CC
GO:0006413,translational initiation,105,31,7.58,6.50E-12,3.13E-08,1.72E-10,4.09,BP
GO:0042626,"ATPase activity, coupled to transmembran...",113,31,8.14,4.90E-11,4.06E-08,1.07E-09,3.81,MF
GO:0043492,"ATPase activity, coupled to movement of ...",114,31,8.21,6.30E-11,5.22E-08,1.27E-09,3.78,MF
GO:0015405,P-P-bond-hydrolysis-driven transmembrane...,118,31,8.5,1.60E-10,1.33E-07,2.76E-09,3.65,MF
GO:0015399,primary active transmembrane transporter...,119,31,8.57,2.10E-10,1.74E-07,3.41E-09,3.62,MF
GO:0000502,proteasome complex,66,30,4.8,2.30E-17,1.45E-14,2.34E-16,6.25,CC
GO:1905369,endopeptidase complex,67,30,4.87,3.80E-17,2.39E-14,3.68E-16,6.16,CC
GO:0016999,antibiotic metabolic process,130,30,9.39,9.60E-09,4.62E-05,1.88E-07,3.19,BP
GO:0010257,NADH dehydrogenase complex assembly,45,29,3.25,1.30E-22,6.26E-19,6.73E-21,8.92,BP
GO:0032981,mitochondrial respiratory chain complex ...,45,29,3.25,1.30E-22,6.26E-19,6.73E-21,8.92,BP
GO:0019829,cation-transporting ATPase activity,61,29,4.39,1.30E-17,1.08E-14,5.99E-16,6.61,MF
GO:0022853,active ion transmembrane transporter act...,61,29,4.39,1.30E-17,1.08E-14,5.99E-16,6.61,MF
GO:0042625,ATPase coupled ion transmembrane transpo...,61,29,4.39,1.30E-17,1.08E-14,5.99E-16,6.61,MF
GO:0008135,"translation factor activity, RNA binding",78,29,5.62,3.80E-14,3.15E-11,1.26E-12,5.16,MF
GO:0051117,ATPase binding,94,29,6.77,8.60E-12,7.13E-09,2.04E-10,4.28,MF
GO:0030672,synaptic vesicle membrane,112,29,8.14,1.10E-09,6.93E-07,6.30E-09,3.56,CC
GO:0099501,exocytic vesicle membrane,112,29,8.14,1.10E-09,6.93E-07,6.30E-09,3.56,CC
GO:1905477,positive regulation of protein localizat...,105,29,7.58,1.80E-10,8.66E-07,4.27E-09,3.83,BP
GO:0048024,"regulation of mRNA splicing, via spliceo...",106,29,7.66,2.40E-10,1.15E-06,5.58E-09,3.79,BP
GO:0022627,cytosolic small ribosomal subunit,44,28,3.2,1.40E-21,8.82E-19,1.58E-20,8.75,CC
GO:0016469,proton-transporting two-sector ATPase co...,49,28,3.56,9.20E-20,5.80E-17,9.66E-19,7.87,CC
GO:0045727,positive regulation of translation,123,28,8.89,4.10E-08,1.97E-04,7.28E-07,3.15,BP
GO:0019843,rRNA binding,71,27,5.11,1.50E-13,1.24E-10,4.61E-12,5.28,MF
GO:0007006,mitochondrial membrane organization,100,27,7.22,1.40E-09,6.74E-06,3.06E-08,3.74,BP
GO:0034399,nuclear periphery,115,27,8.36,4.00E-08,2.52E-05,2.07E-07,3.23,CC
GO:0016651,"oxidoreductase activity, acting on NAD(P...",84,26,6.05,9.40E-11,7.79E-08,1.86E-09,4.3,MF
GO:0070585,protein localization to mitochondrion,98,26,7.08,4.10E-09,1.97E-05,8.58E-08,3.67,BP
GO:1903076,regulation of protein localization to pl...,113,26,8.16,9.80E-08,4.72E-04,1.66E-06,3.19,BP
GO:0008637,apoptotic mitochondrial changes,114,25,8.24,4.60E-07,0.00221352,7.00E-06,3.03,BP
GO:0051087,chaperone binding,100,24,7.2,1.20E-07,9.95E-05,1.51E-06,3.33,MF
GO:0072655,establishment of protein localization to...,92,24,6.65,2.30E-08,1.11E-04,4.24E-07,3.61,BP
GO:2001243,negative regulation of intrinsic apoptot...,99,24,7.15,1.10E-07,5.29E-04,1.83E-06,3.36,BP
GO:0006612,protein targeting to membrane,108,24,7.8,5.90E-07,0.00283908,8.63E-06,3.08,BP
GO:0000313,organellar ribosome,93,23,6.76,1.50E-07,9.45E-05,7.05E-07,3.4,CC
GO:0005761,mitochondrial ribosome,93,23,6.76,1.50E-07,9.45E-05,7.05E-07,3.4,CC
GO:0098876,vesicle-mediated transport to the plasma...,102,23,7.37,7.70E-07,0.00370524,1.11E-05,3.12,BP
GO:0003954,NADH dehydrogenase activity,29,22,2.09,6.10E-20,5.06E-17,5.62E-18,10.53,MF
GO:0042255,ribosome assembly,61,22,4.41,9.60E-11,4.62E-07,2.32E-09,4.99,BP
GO:0031970,organelle envelope lumen,90,22,6.54,3.40E-07,2.14E-04,1.49E-06,3.36,CC
GO:0036473,cell death in response to oxidative stre...,93,22,6.72,5.60E-07,0.00269472,8.37E-06,3.27,BP
GO:0003743,translation initiation factor activity,47,21,3.39,1.80E-12,1.49E-09,4.97E-11,6.19,MF
GO:0070972,protein localization to endoplasmic reti...,58,21,4.19,2.40E-10,1.15E-06,5.58E-09,5.01,BP
GO:1905897,regulation of response to endoplasmic re...,78,21,5.63,9.50E-08,4.57E-04,1.62E-06,3.73,BP
GO:0035304,regulation of protein dephosphorylation,86,21,6.21,5.70E-07,0.00274284,8.47E-06,3.38,BP
GO:0044769,"ATPase activity, coupled to transmembran...",34,20,2.45,6.60E-15,5.47E-12,2.28E-13,8.16,MF
GO:0016655,"oxidoreductase activity, acting on NAD(P...",37,20,2.67,6.10E-14,5.06E-11,1.94E-12,7.49,MF
GO:0032592,integral component of mitochondrial memb...,72,20,5.23,1.20E-07,7.56E-05,5.73E-07,3.82,CC
GO:0098573,intrinsic component of mitochondrial mem...,74,20,5.38,2.00E-07,1.26E-04,9.20E-07,3.72,CC
GO:1990542,mitochondrial transmembrane transport,73,20,5.27,1.40E-07,6.74E-04,2.31E-06,3.8,BP
GO:0071013,catalytic step 2 spliceosome,83,20,6.03,1.50E-06,9.45E-04,6.10E-06,3.32,CC
GO:0000380,"alternative mRNA splicing, via spliceoso...",77,20,5.56,3.60E-07,0.00173232,5.57E-06,3.6,BP
GO:0016363,nuclear matrix,90,20,6.54,5.60E-06,0.003528,2.18E-05,3.06,CC
GO:1903312,negative regulation of mRNA metabolic pr...,82,20,5.92,1.10E-06,0.0052932,1.51E-05,3.38,BP
